66.249.65.76 - - [Sun, 21 Jan 2018 22:39:09 GMT] "GET /public/jquery.min.js?v=0e353b6f46 HTTP/1.1" 200 - "http://www.joelkarr.com/dont-think-when-you-write-code/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
[::1]:12469 - - [Mon, 22 Jan 2018 01:31:45 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:12678 - - [Mon, 22 Jan 2018 01:36:45 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
77.75.78.162 - - [Mon, 22 Jan 2018 01:38:02 GMT] "GET /robots.txt HTTP/1.1" 200 - "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
2a02:598:a:0:0:0:78:162 - - [Mon, 22 Jan 2018 01:38:05 GMT] "GET /assets/img/preload.gif?v=0e353b6f46 HTTP/1.1" 200 15382 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
[::1]:12855 - - [Mon, 22 Jan 2018 01:41:45 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:13067 - - [Mon, 22 Jan 2018 01:46:45 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:13271 - - [Mon, 22 Jan 2018 01:51:47 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:13490 - - [Mon, 22 Jan 2018 01:56:47 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
66.249.65.67 - - [Mon, 22 Jan 2018 02:00:36 GMT] "GET /robots.txt HTTP/1.1" 200 - "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.67 - - [Mon, 22 Jan 2018 02:00:36 GMT] "GET /assets/css/screen.css?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.65 - - [Mon, 22 Jan 2018 02:00:37 GMT] "GET /assets/js/jquery.simple-text-rotator.min.js?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.69 - - [Mon, 22 Jan 2018 02:00:37 GMT] "GET /assets/css/bootstrap-custom.css?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.67 - - [Mon, 22 Jan 2018 02:00:37 GMT] "GET /assets/js/jquery.smooth-scroll.min.js?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.69 - - [Mon, 22 Jan 2018 02:00:37 GMT] "GET /assets/js/jquery.validate.min.js?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.67 - - [Mon, 22 Jan 2018 02:00:37 GMT] "GET /public/jquery.min.js?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.65 - - [Mon, 22 Jan 2018 02:00:38 GMT] "GET /assets/css/simpletextrotator.css?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.67 - - [Mon, 22 Jan 2018 02:00:38 GMT] "GET /assets/js/waypoints.min.js?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.65 - - [Mon, 22 Jan 2018 02:00:38 GMT] "GET /assets/css/owl.theme.css?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.67 - - [Mon, 22 Jan 2018 02:00:38 GMT] "GET /assets/js/jquery.easypiechart.min.js?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.69 - - [Mon, 22 Jan 2018 02:00:38 GMT] "GET /assets/css/main.css?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.65 - - [Mon, 22 Jan 2018 02:00:39 GMT] "GET /assets/css/owl.carousel.css?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.67 - - [Mon, 22 Jan 2018 02:00:39 GMT] "GET /assets/fonts/elegant/styles.css?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.67 - - [Mon, 22 Jan 2018 02:00:39 GMT] "GET /assets/js/magnific-popup.min.js?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.67 - - [Mon, 22 Jan 2018 02:00:39 GMT] "GET /assets/js/custom.js?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.65 - - [Mon, 22 Jan 2018 02:00:39 GMT] "GET /assets/js/owl.carousel.min.js?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.69 - - [Mon, 22 Jan 2018 02:00:40 GMT] "GET /assets/js/preloader.js?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.65 - - [Mon, 22 Jan 2018 02:00:40 GMT] "GET /assets/css/magnific-popup.css?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.67 - - [Mon, 22 Jan 2018 02:00:40 GMT] "GET /introducing-goat-wranglers/js/jquery-1.10.2.min.js/ HTTP/1.1" 404 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.65 - - [Mon, 22 Jan 2018 02:00:40 GMT] "GET /assets/js/jquery.isotope.min.js?v=a7e861ea94 HTTP/1.1" 200 - "http://www.joelkarr.com/introducing-goat-wranglers/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
[::1]:13698 - - [Mon, 22 Jan 2018 02:01:47 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:13936 - - [Mon, 22 Jan 2018 02:06:57 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
2a02:598:2:0:0:0:0:170 - - [Mon, 22 Jan 2018 02:11:02 GMT] "GET /assets/img/preload.gif?v=68778cb64a HTTP/1.1" 200 15382 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
[::1]:14188 - - [Mon, 22 Jan 2018 02:11:57 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:14366 - - [Mon, 22 Jan 2018 02:16:57 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:14614 - - [Mon, 22 Jan 2018 02:21:58 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
[::1]:14814 - - [Mon, 22 Jan 2018 02:26:58 GMT] "GET / HTTP/1.1" 200 15896 "-" "AlwaysOn"
